utilice uti-li-ce
variables va-ria-bles
aleatorias alea-to-rias
indicadores in-di-ca-do-res
resolver re-sol-ver
siguiente si-guien-te
problema pro-ble-ma
conoce co-no-ce
hatcheck hat-check
problem problem
clientes clien-tes
entrega en-tre-ga
sombrero som-bre-ro
persona per-so-na
guarda guar-da
entrada en-tra-da
restaurante  res-tau-ran-te 
devuelve de-vuel-ve
sombreros som-bre-ros
orden or-den
aleatorio  alea-to-rio 
cantidad can-ti-dad
espera es-pe-ra
obtengan ob-ten-gan
vuelta vuel-ta
propio pro-pio
