aleatorias "alea-to-rias"
aleatorio "alea-to-rio"
cantidad "can-ti-dad"
clientes "clien-tes"
conoce "co-no-ce"
devuelve "de-vuel-ve"
entrada "en-tra-da"
entrega "en-tre-ga"
espera "es-pe-ra"
extremadamente "ex-tre-ma-da-men-te"
guarda "guar-da"
hatcheck "hat-check"
indicadores "in-di-ca-do-res"
obtengan "ob-ten-gan"
orden "or-den"
persona "per-so-na"
problem "problem"
problema "pro-ble-ma"
propio "pro-pio"
resolver "re-sol-ver"
restaurante "res-tau-ran-te"
siguiente "si-guien-te"
sombrero "som-bre-ro"
sombreros "som-bre-ros"
utilice "uti-li-ce"
variables "va-ria-bles"
vuelta "vuel-ta"
